KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0104213061PEK,,01MAR2128FEB22,3, ,AH,3061,01,01,J,04MAR21,15APR21, , , ,4, , , ,PEK,2140,2140,+,0800,ALG,1040,1040,+,0100,332,       ,F18C14Y219          ,2021-04-01,2021-04-02,,,,4.0,,,,
0104216000ALG,CANCELED,01MAR2128FEB22,3, ,AH,6000,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0850,0850,+,0100,AAE,0950,0950,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216001AAE,CANCELED,01MAR2128FEB22,3, ,AH,6001,01,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,1630,1630,+,0100,ALG,1730,1730,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216006ALG,CANCELED,01MAR2128FEB22,3, ,AH,6006,03,01,J,04MAR21,29MAY21, , , ,4, ,6, ,ALG,1830,1830,+,0100,AAE,1930,1930,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216007AAE,,01MAR2128FEB22,3, ,AH,6007,02,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,0650,0650,+,0100,ALG,0750,0750,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216026ALG,CANCELED,01MAR2128FEB22,3, ,AH,6026,01,01,J,01MAR21,31MAY21,1,2,3,4,5, ,7,ALG,1815,1815,+,0100,CZL,1905,1905,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216027CZL,MODIFIED,01MAR2128FEB22,3, ,AH,6027,06,01,J,01APR21,01APR21, , , ,4, , , ,CZL,0725,0720,+,0100,ALG,0815,0815,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,,28MAR2127MAR22,,
0104216040ALG,CANCELED,01MAR2128FEB22,3, ,AH,6040,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0945,0945,+,0100,BSK,1035,1035,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216041BSK,CANCELED,01MAR2128FEB22,3, ,AH,6041,03,01,J,04MAR21,27MAY21, , , ,4, , , ,BSK,1135,1135,+,0100,ALG,1225,1225,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,,,,
0104216052ALG,CANCELED,01MAR2128FEB22,3, ,AH,6052,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1220,1220,+,0100,BJA,1305,1305,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,,,,
