STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,KEY_FLT
,02MAR2101MAR22,3, ,AH,6352,02,01,J,11MAR21,27MAY21, , , ,4, , , ,CZL,1415,1415,+,0100,TMR,1615,1615,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216352CZL
,02MAR2101MAR22,3, ,AH,6353,02,01,J,11MAR21,27MAY21, , , ,4, , , ,TMR,1715,1715,+,0100,CZL,1915,1915,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216353TMR
,02MAR2101MAR22,3, ,AH,6384,06,01,J,11MAR21,27MAY21, , , ,4, , , ,ORN,1445,1445,+,0100,AZR,1610,1610,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216384ORN
,02MAR2101MAR22,3, ,AH,6385,06,01,J,11MAR21,27MAY21, , , ,4, , , ,AZR,1710,1710,+,0100,ORN,1840,1840,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216385AZR
,02MAR2101MAR22,3, ,AH,6400,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,0700,0700,+,0100,OGX,0900,0900,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216400ORN
,02MAR2101MAR22,3, ,AH,6400,01,02,J,04MAR21,27MAY21, , , ,4, , , ,OGX,0950,0950,+,0100,IAM,1120,1120,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216400OGX
,02MAR2101MAR22,3, ,AH,6401,01,02,J,04MAR21,27MAY21, , , ,4, , , ,OGX,1430,1430,+,0100,ORN,1615,1615,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216401OGX
,02MAR2101MAR22,3, ,AH,6401,01,01,J,04MAR21,27MAY21, , , ,4, , , ,IAM,1210,1210,+,0100,OGX,1340,1340,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216401IAM
,02MAR2101MAR22,3, ,AH,6476,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1000,1000,+,0100,EBH,1110,1110,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216476ALG
,02MAR2101MAR22,3, ,AH,6477,02,01,J,04MAR21,27MAY21, , , ,4, , , ,EBH,1200,1200,+,0100,ALG,1310,1310,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216477EBH
,02MAR2101MAR22,3, ,AH,6486,01,02,J,04MAR21,27MAY21, , , ,4, , , ,VVZ,1100,1100,+,0100,DJG,1145,1145,+,0100,736,       ,F16Y86              ,2021-04-01,2021-04-01,,,,4.0,0104216486VVZ
,02MAR2101MAR22,3, ,AH,6486,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0805,0805,+,0100,VVZ,1000,1000,+,0100,736,       ,F16Y86              ,2021-04-01,2021-04-01,,,,4.0,0104216486ALG
,02MAR2101MAR22,3, ,AH,6487,01,01,J,04MAR21,27MAY21, , , ,4, , , ,DJG,1245,1245,+,0100,ALG,1500,1500,+,0100,736,       ,F16Y86              ,2021-04-01,2021-04-01,,,,4.0,0104216487DJG
,02MAR2101MAR22,3, ,AH,6006,03,01,J,04MAR21,29MAY21, , , ,4, ,6, ,ALG,1830,1830,+,0100,AAE,1930,1930,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216006ALG
,02MAR2101MAR22,3, ,AH,6007,04,01,J,15MAR21,01JUN21,1,2,3, ,5,6,7,AAE,0715,0715,+,0100,ALG,0815,0815,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216007AAE
,02MAR2101MAR22,3, ,AH,6026,02,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,1840,1840,+,0100,CZL,1930,1930,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216026ALG
,02MAR2101MAR22,3, ,AH,6027,05,01,J,21MAR21,01JUN21,1,2,3,4,5,6,7,CZL,0720,0720,+,0100,ALG,0810,0810,+,0100,73H,       ,F16Y132             ,2021-05-01,2021-05-01,,,,6.0,0105216027CZL
,02MAR2101MAR22,3, ,AH,6028,01,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0910,0910,+,0100,CZL,1015,1015,+,0100,AT7,       ,Y66                 ,2021-05-01,2021-05-01,,,,6.0,0105216028ALG
,02MAR2101MAR22,3, ,AH,6042,01,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,0950,0950,+,0100,BSK,1040,1040,+,0100,736,       ,F16Y85              ,2021-05-01,2021-05-01,,,,6.0,0105216042ALG
,02MAR2101MAR22,3, ,AH,6043,01,01,J,06MAR21,29MAY21, , , , , ,6, ,BSK,1140,1140,+,0100,ALG,1230,1230,+,0100,736,       ,F16Y85              ,2021-05-01,2021-05-01,,,,6.0,0105216043BSK
,02MAR2101MAR22,3, ,AH,6056,03,01,J,06MAR21,29MAY21, , , , , ,6, ,ALG,1350,1350,+,0100,GJL,1445,1445,+,0100,736,       ,F16Y85              ,2021-05-01,2021-05-01,,,,6.0,0105216056ALG
